1|"WWW.THELATESTCRAZESTORE.COM"|"USA"
2|"Whitby, Ontario"|"Canada"
3|"SoulCal"|"USA"
4|"Birmingham,AL"|"USA"
5|"WA State Toll Free 1-866-667-8999"|"USA"
6|"Southern Ontario"|"Canada"
7|"SHIP WITHIN THE U.S.A. & TO PUERTO RICO ONLY"|"USA"
8|"alsace"|"France"
9|"SOUTH FL"|"USA"
10|"bay area"|"USA"
11|"CHECK OUT OUR EBAY STORE!!!"|"USA"
12|"By The Beautiful Bay"|"USA"
13|"Designer Goods Made Affordable!"|"USA"
14|"Bushnell,Il."|"USA"
15|"Akron, PA"|"USA"
16|"Beautiful East Texas"|"USA"
17|"Cisco, Texas"|"USA"
18|"Tulsa,Ok"|"USA"
19|"Westlake, Ohio"|"USA"
20|"A Good Deal for a Good Deal Less"|"USA"
21|"Exeter, CA"|"USA"
22|"***Paypal***Billpoint***"|"USA"
23|"Reading, PA"|"USA"
24|"FREE SHIPPING w/ BUY IT NOW within the US!"|"USA"
25|"LaFayette"|"USA"
26|"Check Out My Other Auctions!!"|"USA"
27|"ONTARIO CANADA"|"Canada"
28|"I GLADLY COMBINE AUCTIONS!!!"|"USA"
29|"Fallbrook, Ca"|"USA"
30|"TRENDY! TRENDY! TRENDY!"|"USA"
31|"Northville, Mi"|"USA"
32|"GBRO NC"|"USA"
33|"Portales,NM"|"USA"
34|"THE BORO OF TENNESSEE"|"USA"
35|"Silver Spring, Maryland"|"USA"
36|"East"|"USA"
37|"Herndon, PA"|"USA"
38|"Colne, Lancashire"|"United Kingdom"
39|"Raynham, Mass"|"USA"
40|"BUSH COUNTRY THE HEART OF TEXAS"|"USA"
41|"rancho cucamonga ca"|"USA"
42|"We call it Paradise... others call it PA"|"USA"
43|"Tiaraland"|"USA"
44|"rickwolf.com in wonderful Ohio"|"USA"
45|"CHECK OUT MY OTHER AUCTIONS"|"USA"
46|"MERRY CHRISTMAS~Will Combine Shipping!"|"USA"
47|"BID WITH CONFIDENCE! WE ARE EBAY POWERSELLERS"|"USA"
48|"VIEW MY OTHER CLASSIC & OUT OF PRINT MOVIES"|"USA"
49|"Thousand Oaks, CA"|"USA"
50|"BWI , Md."|"USA"
51|"USA!!!"|"USA"
52|"Phoenix AZ"|"USA"
53|"Lovington, IL"|"USA"
54|"FRASER MI"|"USA"
55|"LAKE LENNY"|"USA"
56|"Check Out My Other Auctions!!!"|"USA"
57|"N W PA"|"USA"
58|"Adcentral"|"USA"
59|"Snowy, vindy Vermont"|"USA"
60|"Madawaska"|"USA"
61|"Macon, Ga"|"USA"
62|"Star Findings, N.Y, N.Y. 10013"|"USA"
63|"35039 Marburg"|"Germany"
64|"nashville"|"USA"
65|"hk"|"China"
66|"Alexandria, Alabama"|"USA"
67|"ont"|"Canada"
68|"ORANGE COUNTY"|"USA"
69|"Kaelyns Closet"|"USA"
70|"dover afb"|"USA"
71|"WESTERN,PA"|"USA"
72|"Clinton Township"|"USA"
73|"Sunny Fl"|"USA"
74|"Gallatin, TN"|"USA"
75|"st.pete,fl. 33714"|"USA"
76|"Chitown"|"USA"
77|"Prince Edward Island"|"Canada"
78|"SHEBOYGAN WISCONSIN"|"USA"
79|"Eielson AFB, AK."|"USA"
80|"The Nostalgia Factory, Boston, MA"|"USA"
81|"All Kinds Of Stuff"|"USA"
82|"Prompt shipping worldwide!"|"Australia"
83|"I ADD NEW TOMMY BAHAMA, EARL, DIESEL WACOAL A"|"USA"
84|"HAPPY HOLIDAYS ! ! !"|"USA"
85|"Fox Cities, Wi"|"USA"
86|"Naperville, Illinois"|"USA"
87|"London, United Kingdom"|"United Kingdom"
88|"Alaska"|"USA"
89|"Albany, N.Y."|"USA"
90|"West Hollywood, Ca."|"USA"
91|"NE Iowa"|"USA"
92|"Aurora, Illinois"|"USA"
93|"ONT"|"Canada"
94|"Milano"|"Italy"
95|"LARGO, FL (NEW ITEMS, SHOP HERE)"|"USA"
96|"lawrence, ma"|"USA"
97|"Malvern, Pa."|"USA"
98|"Belton, MO"|"USA"
99|"UT"|"USA"
100|"Land of Pleasant Living"|"USA"
101|"San Antonio, Texas"|"USA"
102|"Staffs"|"United Kingdom"
103|"SEE ALL MY AUCTIONS"|"USA"
104|"Charlotte, NC"|"USA"
105|"Blairsville, Pa"|"USA"
106|"WALLA WALLA"|"USA"
107|"I combine items to save shipping cost"|"USA"
108|"Marseilles, Illinois"|"USA"
109|"Garden of England KENT"|"United Kingdom"
110|"Henderson, Nv"|"USA"
111|"Sun City West, AZ"|"USA"
112|"tx-Please check my other Auctions-CLICK BELOW"|"USA"
113|"Texas Hill Country"|"USA"
114|"Central Sierra CA"|"USA"
115|"Cleveland, TN"|"USA"
116|"Rhein-Main-Aera"|"Germany"
117|"Frozen to a Crisp in Denver City"|"USA"
118|"Wayzata, MInnesota"|"USA"
119|"Westport, CT"|"USA"
120|"Broken Arrow, OK"|"USA"
121|"San Antonio, TX"|"USA"
122|"SO, CALIF. NO OUT OF U.S. SALES!"|"USA"
123|"ontario"|"Canada"
124|"Rome, GA"|"USA"
125|"SUNNY SO. CA."|"USA"
126|"Rocky Mountains - God Bless America!!!!"|"USA"
127|"Klamath Falls, OR"|"USA"
128|"Cherry Hill, NJ"|"USA"
129|"Charleston, Il."|"USA"
130|"Portland Oregon"|"USA"
131|"east"|"USA"
132|"Hauts de Seine"|"France"
133|"lecanto,florida"|"USA"
134|"sacramento"|"USA"
135|"Milan"|"USA"
136|"Elite Boutique"|"USA"
137|"Good Ole' USA"|"USA"
138|"BRANDEEZE - New Product Daily - Orlando,FL"|"USA"
139|"Desert Boomtown!"|"USA"
140|"bear,de"|"USA"
141|"Boston & New York City"|"USA"
142|"cambridge,ma"|"USA"
143|"Riverhead, NY"|"USA"
144|"EVANS CITY, PA"|"USA"
145|"Tri-State Area"|"USA"
146|"The beautiful ocean state"|"USA"
147|"Kewaunee, WI"|"USA"
148|"WHERE WICKECHEOKEE CREEK FLOWS"|"USA"
149|"Sunny Florida"|"USA"
150|"Huguenot, NY"|"USA"
151|"Minnesota"|"USA"
152|"Los Angeles, California"|"USA"
153|"Neverland Comics / Roseburg Oregon"|"USA"
154|"Wichita Kansas"|"USA"
155|"Movieland"|"USA"
156|"Sardis, TN"|"USA"
157|"Paypal or Billpoint ONLY!"|"Canada"
158|"P.O.Box 44803,Madison Wisc.53744"|"USA"
159|"Rockland County, NY *God Bless America*"|"USA"
160|"Barbiemania"|"USA"
161|"Double Oak, TX"|"USA"
162|"DES MOINES, IOWA"|"USA"
163|"Rogers Park"|"USA"
164|"HANNIBAL NY"|"USA"
165|"Merry Xmas!"|"USA"
166|"E-mail me to Buy it NOW!!!"|"USA"
167|"Montreal,Quebec"|"Canada"
168|"SPARKY'S HOTWHEELS"|"USA"
169|"Hotlanta"|"USA"
170|"Aledo Texas"|"USA"
171|"Down The Street From eBay"|"USA"
172|"JERSEY SHORE - WE ACCEPT PAYPAL"|"USA"
173|"Happy Holidays!!"|"USA"
174|"Kailua-Kona"|"USA"
175|"The Peach State!"|"USA"
176|"mid west"|"USA"
177|"SPRINGFIELD,MASS"|"USA"
178|"Central Illinois- 217-287-1475"|"USA"
179|"LAWRENCE"|"USA"
180|"3249 Concession Road #8, Orono, Ontario"|"Canada"
181|"San Marino, in the heart of"|"Italy"
182|"Erica & Barb bringing you great deals!"|"USA"
183|"Tri-Cities, WASHINGTON"|"USA"
184|"UPSTATE NEW YORK PRIORITY MAIL FOR BOOKS"|"USA"
185|"GRANDPAs~TRADING~Co BradentonFL~ComeN C Shop"|"USA"
186|"Bargains in PENN"|"USA"
187|"PayPal Preferred at ***Hilo, Hawaii***"|"USA"
188|"Hbg Pa"|"USA"
189|"Cooperstown, NY"|"USA"
190|"N. Calif."|"USA"
191|"SAC-TO .CA."|"USA"
